career_domain,math_scores,cs_fundamentals_scores,cgpa,cognitive_ability_score,programming_skill,web_dev_skill,mobile_dev_skill,data_analytics_skill,data_science_ml_skill,db_sql_skill,cloud_devops_skill,cybersecurity_skill,networking_sysadmin_skill,ui_ux_design_skill,qa_testing_skill,business_analysis_skill,interest_dev_overall,interest_data_overall,interest_cloud_infra_overall,interest_cybersecurity,interest_ui_ux_design,interest_business_and_management,teamwork_behavior,learning_motivation,communication_skill,professional_discipline_score,project_count,project_complexity,internship_experience_count,github_repos_count,github_commits_90d,certifications_total,lang_python,lang_java,lang_javascript,lang_c_cpp,lang_sql,frontend_react,frontend_angular,backend_node,backend_django,backend_spring,db_postgres,data_tool_spark,data_tool_airflow,data_tool_kafka,cloud_aws,cloud_azure,devops_docker,devops_kubernetes,devops_terraform,observability_prometheus,observability_grafana,security_tool_siem,security_tool_wireshark,security_tool_burpsuite,testing_tool_selenium,testing_tool_jmeter,mobile_kotlin,mobile_flutter,projects_backend,projects_frontend,projects_fullstack,projects_mobile_android,projects_data_analytics,projects_data_engineering,projects_ml_ai,projects_cloud,projects_devops,projects_security_defense,projects_security_offense,projects_embedded,system_design_score,distributed_systems_knowledge_score,cloud_arch_patterns_score,data_modeling_skill,api_design_skill,siem_experience_score,incident_response_cases,vuln_assessments_done,pentest_tools_known_count,compliance_frameworks_known_count,embedded_c_cpp_skill,microcontroller_projects_count,rtos_experience_score,firmware_debugging_skill,job_role
Cybersecurity,63.93,83.46,6.56,0.86,7.96,1.99,2.84,7.57,3.05,7.65,6.16,9.9,6.94,0.59,5.81,5.63,5.88,6.68,4.38,7.36,6.89,5.87,5.37,6.84,7.69,0.79,10,5.57,1,12,175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3.85,7.75,3.07,3.16,5.36,4.21,8,21,5,1,2.55,0,0.33,3.47,Penetration Tester
Data & Artificial Intelligence,80.1,77.12,7.34,6.74,4.57,6.62,4.56,8.33,5.91,7.85,5.36,2.45,3.78,4.94,2.02,7.8,5.12,8.73,7.57,7.99,4.54,6.71,7.07,8.4,9.88,0.75,8,5.7,1,15,135,2,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,2,0,0,1,0,0,6.65,8.74,4.07,5.64,7.68,1.6,0,0,0,0,2.39,0,0.63,4.28,BI Analyst
Quality Assurance & Testing,59.27,79.14,7.01,5.65,6.19,4.53,4.67,5.65,1.88,5.56,2.72,2.04,3.71,4.42,9.33,4.03,5.89,4.18,5.71,7.16,8.36,4.66,6.25,6.44,5.09,0.72,7,8.43,0,12,193,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,9.43,6.54,1.82,0.04,5.96,1.25,1,2,0,0,2.94,0,1.93,3.37,Test Architect
"Cloud, DevOps & Platform Engineering",72.04,78.66,8.08,6.12,5.08,3.91,4.63,4.99,5.58,5.72,7.7,2.15,7.89,3.31,6.36,4.0,6.97,6.22,8.64,5.73,6.05,6.1,5.69,8.39,6.22,0.87,10,6.53,2,16,228,6,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,1,1,0,7.31,7.93,9.93,5.6,7.34,2.53,0,0,0,0,4.34,0,3.06,1.56,Platform Engineer
Cybersecurity,56.87,48.04,7.88,3.45,5.4,0.81,2.88,8.21,6.57,2.26,6.96,6.96,8.32,3.51,8.74,4.89,6.41,2.3,7.91,8.28,6.95,5.35,7.32,6.31,6.6,0.82,10,5.5,1,15,271,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,1,1,1,3,0,0,4.98,5.23,3.85,5.91,7.5,10.0,31,7,1,4,2.14,0,1.29,4.11,SOC Analyst
Data & Artificial Intelligence,84.09,79.14,7.43,6.62,2.95,4.9,3.39,7.8,4.36,8.38,9.04,3.16,6.39,2.93,1.09,5.67,8.14,6.82,5.58,4.92,4.23,5.54,5.63,7.7,7.87,0.59,5,5.71,1,9,99,4,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,1,0,0,8.52,5.26,2.98,5.71,5.24,3.41,0,0,0,1,3.3,0,4.31,0.62,Data Analyst
Cybersecurity,77.2,69.75,8.28,7.09,5.07,2.16,2.62,5.59,3.13,2.62,8.88,9.86,8.27,2.66,8.19,6.23,6.78,4.63,1.4,9.85,4.24,4.22,2.67,5.04,7.49,0.67,7,5.31,3,9,150,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,5.9,4.75,2.71,6.81,4.56,7.65,23,12,3,5,2.66,0,3.15,2.0,Cybersecurity Engineer
Cybersecurity,71.67,79.54,7.14,1.45,5.14,1.52,1.91,6.01,3.59,3.7,7.57,7.45,7.04,3.23,9.07,5.79,5.31,4.62,8.31,8.31,5.31,3.91,6.82,7.68,7.47,0.69,6,5.03,0,5,114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,1,0,0,6.31,6.25,3.05,4.9,9.61,3.77,19,21,5,0,2.5,0,3.44,1.73,Cybersecurity Engineer
Data & Artificial Intelligence,91.68,86.33,8.22,4.87,6.02,3.56,6.18,6.91,6.16,7.36,7.45,3.28,7.12,3.67,2.02,4.7,6.99,7.75,5.02,5.53,4.43,6.77,4.88,6.66,6.67,0.48,12,7.27,3,14,230,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,2,5,5,1,0,0,0,7.48,9.87,1.22,8.97,9.52,1.54,1,1,0,0,1.22,1,1.97,3.65,MLOps Engineer
Data & Artificial Intelligence,88.66,59.14,7.41,7.21,8.0,2.19,3.29,7.44,9.66,8.74,3.78,4.17,3.19,4.76,4.38,4.16,5.99,8.31,5.12,4.4,8.14,6.24,7.24,6.65,6.45,0.54,5,6.38,1,8,122,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,9.22,6.39,3.71,7.62,8.08,2.4,0,0,0,0,2.94,0,2.74,1.4,Data Engineer
Software Engineering,89.71,66.09,7.54,7.34,7.46,10.0,4.91,4.81,3.9,8.08,7.26,1.86,4.66,6.65,5.55,7.05,6.54,4.95,2.69,6.38,7.29,4.68,4.23,7.03,7.57,0.77,12,4.88,0,13,212,4,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,3,1,2,0,0,0,0,1,0,0,0,0,4.48,6.04,5.0,3.32,7.36,1.73,1,0,0,0,0.03,1,1.45,1.16,Full-Stack Developer
Quality Assurance & Testing,61.97,66.43,8.37,5.21,3.86,4.9,5.3,2.9,2.63,2.03,4.5,1.65,6.14,5.14,9.45,1.97,6.73,5.84,8.68,7.26,4.31,8.05,3.27,9.22,6.55,0.93,3,4.58,1,2,31,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5.05,7.48,1.22,0.99,4.91,2.63,0,0,1,0,3.39,1,2.56,2.56,Automation Test Engineer
"Cloud, DevOps & Platform Engineering",66.64,84.23,9.6,2.05,6.0,2.13,3.16,8.74,3.89,5.96,10.0,6.21,8.33,2.64,6.32,2.6,1.85,5.57,8.44,3.17,4.79,7.11,2.34,6.77,5.85,0.78,7,3.79,0,2,207,2,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,1,1,6.31,9.86,7.5,2.75,6.53,3.5,0,1,0,0,0.32,0,3.28,5.06,Platform Engineer
Quality Assurance & Testing,84.46,64.87,8.1,7.76,6.64,3.45,6.28,4.41,1.15,7.26,6.44,0.61,4.4,4.95,8.11,3.85,3.91,5.77,4.3,4.75,5.99,2.37,5.7,7.1,5.95,0.77,11,4.34,2,9,224,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,6.48,2.63,3.3,3.61,7.81,1.75,1,1,0,0,2.62,4,2.86,2.42,Automation Test Engineer
Software Engineering,50.45,76.73,8.27,3.97,6.45,6.48,6.34,5.88,4.74,8.52,6.47,1.96,4.49,5.28,1.37,5.38,9.3,5.47,5.41,6.81,7.1,2.35,6.52,6.18,5.87,0.6,9,4.59,0,6,149,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,8.87,4.27,4.71,3.33,7.36,1.33,0,1,0,0,2.61,0,2.22,2.83,API Engineer
Cybersecurity,53.39,59.4,8.13,5.09,3.95,1.94,3.35,8.25,5.14,6.28,5.9,8.63,7.55,4.46,8.61,4.19,8.44,5.94,5.52,7.67,5.77,7.48,4.98,5.58,5.29,0.58,7,6.11,1,11,96,5,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,4,0,0,5.65,6.72,2.86,2.61,5.78,8.29,10,10,3,0,3.35,1,0.38,3.51,Security Analyst
UI/UX & Product,60.07,76.2,7.12,8.9,6.09,3.77,5.87,4.69,1.37,5.52,1.31,2.33,1.45,9.17,2.56,5.02,7.44,3.39,3.13,4.86,8.08,8.22,4.53,5.29,8.86,0.66,6,3.98,0,7,72,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,5.35,0.27,1.83,3.49,4.85,0.97,0,0,0,0,1.61,0,2.51,1.78,UX Designer
Cybersecurity,60.34,74.51,7.83,6.99,8.1,3.32,4.05,6.48,4.03,6.03,7.95,5.58,7.58,3.69,7.24,8.81,6.7,7.4,5.42,9.04,6.28,6.95,3.32,7.03,8.69,0.59,8,4.78,1,6,174,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,1,4.49,8.23,4.11,3.72,4.11,6.63,4,0,1,7,2.95,0,1.3,3.07,GRC Analyst
Software Engineering,81.94,75.03,7.04,5.22,5.32,3.33,6.47,3.96,4.42,7.48,7.44,3.71,7.15,4.11,7.1,6.56,8.94,6.23,4.2,8.47,4.69,6.69,4.88,8.23,7.59,0.57,10,6.33,1,13,296,3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,6.5,5.6,3.63,1.66,6.08,0.51,0,0,0,0,3.42,0,1.63,0.48,Application Support Engineer
Data & Artificial Intelligence,75.04,75.95,7.85,8.44,8.09,2.75,2.17,7.37,8.73,9.86,7.85,2.05,4.11,4.14,2.79,7.48,5.15,8.4,8.21,3.91,4.48,5.15,5.19,6.41,6.93,0.84,12,8.26,1,18,174,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,2,1,2,0,0,0,8.28,6.51,6.13,3.34,4.36,0.55,0,1,0,0,1.91,0,3.52,1.8,Machine Learning Engineer
Cybersecurity,67.52,72.89,8.48,4.93,5.35,1.86,0.37,5.09,2.41,5.12,7.05,6.49,6.56,1.28,7.19,2.07,5.2,5.61,4.44,10.0,7.42,5.56,4.9,7.54,4.39,0.55,11,6.23,3,8,225,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,6.95,5.69,6.02,4.58,4.93,7.65,12,7,9,4,3.3,0,4.38,2.04,Security Analyst
Data & Artificial Intelligence,83.31,68.69,7.12,7.2,8.77,6.5,5.77,6.88,9.87,4.95,6.38,2.82,4.49,3.03,5.52,5.72,6.31,9.56,5.95,6.97,5.58,9.23,1.82,9.75,7.46,0.62,8,6.98,1,15,195,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,2,0,0,1,1,0,6.09,2.61,5.45,5.13,6.68,2.53,0,0,0,0,2.03,0,2.92,0.83,AI Engineer
UI/UX & Product,58.52,62.04,6.57,4.57,3.83,6.01,3.97,5.65,3.61,3.74,2.69,1.38,2.46,8.78,2.01,5.86,4.76,7.44,5.38,7.51,8.28,3.86,7.89,6.56,5.62,0.81,8,6.08,2,11,220,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,3.68,6.45,2.22,3.62,6.09,1.98,0,0,0,0,2.59,1,0.48,3.46,UI Designer
Software Engineering,80.33,91.62,8.75,6.91,6.65,5.03,2.56,7.04,7.73,9.27,6.99,3.92,5.03,5.08,5.25,4.18,9.86,3.6,5.46,2.49,5.69,5.54,5.11,5.92,5.32,0.62,5,5.52,2,6,101,4,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,5.92,9.24,4.43,5.17,7.19,1.62,0,0,0,0,2.44,0,5.59,2.03,Backend Engineer
Quality Assurance & Testing,63.01,81.86,7.95,3.9,9.17,4.72,8.04,5.08,1.18,7.77,3.24,2.75,8.2,4.87,7.07,4.35,4.69,4.42,7.67,3.13,6.57,5.92,3.31,6.24,7.2,0.8,10,2.83,2,12,165,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,2,1,0,0,0,7.49,4.82,1.18,2.59,7.55,3.28,0,0,0,0,3.76,0,2.42,5.66,Test Architect
Software Engineering,71.21,79.32,6.52,4.87,5.76,8.2,7.45,4.85,7.8,5.76,8.23,4.86,6.87,5.22,7.15,6.8,8.66,8.03,5.53,6.19,4.96,6.97,5.83,7.37,7.46,0.62,12,6.4,2,6,235,3,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,2,1,0,1,0,2,0,0,1,0,7.59,5.31,6.94,5.08,9.76,5.05,0,0,1,0,3.23,0,2.87,2.36,API Engineer
Quality Assurance & Testing,74.26,67.88,7.74,5.96,2.91,5.18,5.68,3.41,0.41,7.0,3.21,4.83,6.53,2.76,9.09,5.43,9.31,4.64,5.3,8.2,4.95,5.6,5.89,6.58,4.98,0.85,8,7.71,0,7,224,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,1,0,0,1,6.03,5.09,0.24,2.77,8.19,0.63,0,0,0,0,2.21,0,2.81,2.1,Performance Test Engineer
Systems & Infrastructure,54.56,76.02,7.8,2.37,9.03,3.79,6.11,7.13,2.93,8.09,5.72,4.61,7.55,1.68,4.51,7.0,6.74,5.91,6.34,2.09,8.88,6.66,6.53,5.64,7.0,0.47,9,6.36,1,11,164,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,4,7.47,5.75,5.78,6.09,4.92,5.3,0,1,0,0,9.9,5,5.32,7.36,Embedded Systems Engineer
"Cloud, DevOps & Platform Engineering",78.94,64.8,8.93,4.1,8.19,2.38,3.3,6.71,5.24,6.74,8.86,4.06,7.36,3.34,2.27,4.74,6.88,4.4,7.85,5.98,7.03,3.74,5.95,6.42,4.99,0.83,10,9.1,2,16,248,8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5.3,6.22,10.0,3.87,6.75,1.66,0,0,0,0,2.04,0,2.25,2.98,Cloud Engineer
"Cloud, DevOps & Platform Engineering",73.64,65.76,7.66,5.77,6.85,5.24,5.04,5.22,1.32,6.85,9.66,5.38,8.31,5.05,6.23,6.91,5.11,4.5,7.74,3.42,3.81,7.44,3.67,7.78,8.17,0.88,6,3.91,3,3,168,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,9.16,5.87,9.21,6.81,9.69,1.75,0,0,0,1,2.74,0,3.86,1.77,Solutions Architect
Quality Assurance & Testing,69.28,59.92,8.57,7.34,7.56,4.15,6.1,4.06,3.24,5.06,5.21,1.52,7.97,3.91,6.23,5.33,4.78,4.12,5.76,5.81,2.98,7.01,7.36,6.91,4.0,0.76,6,4.78,1,7,120,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,8.71,3.65,4.33,2.98,7.22,2.81,1,0,0,0,5.43,0,1.75,2.95,Performance Test Engineer
Software Engineering,61.72,83.8,7.96,5.49,6.32,7.04,5.31,7.22,3.51,8.44,2.86,2.94,4.35,4.14,6.65,5.19,8.04,4.92,5.17,6.2,5.79,7.72,3.21,7.57,6.08,0.4,3,8.8,0,4,73,2,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.04,4.82,7.08,4.73,4.2,1.9,0,2,0,0,5.03,0,0.91,1.94,Game Developer
Systems & Infrastructure,63.42,65.21,8.31,4.64,8.62,5.14,10.0,7.73,3.74,9.6,6.31,9.02,2.88,2.97,9.08,5.93,5.28,3.66,5.33,6.82,5.2,3.96,4.03,5.5,5.33,0.51,7,7.39,2,10,228,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,5.29,8.94,5.27,6.14,4.85,1.18,0,0,0,0,9.85,4,6.52,7.3,Embedded Systems Engineer
Data & Artificial Intelligence,72.43,79.35,7.62,8.45,6.26,1.57,5.46,7.59,7.29,6.73,3.75,1.51,2.07,2.09,4.48,6.74,6.66,8.21,7.11,7.0,5.72,6.7,5.17,8.22,7.14,0.81,7,7.41,0,14,153,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,5.5,2.84,2.38,5.19,4.56,2.09,0,1,0,0,2.55,0,1.1,0.53,BI Analyst
Cybersecurity,57.22,88.67,8.6,5.95,5.97,1.97,2.42,6.83,5.18,4.86,6.82,5.69,6.32,3.17,6.21,6.19,5.56,3.41,1.85,7.4,5.13,2.95,4.24,7.49,9.28,0.74,6,5.65,3,8,137,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,5.54,8.69,4.94,3.69,9.74,7.33,5,0,1,1,1.17,0,4.79,2.21,GRC Analyst
Software Engineering,66.11,74.27,7.98,3.87,6.06,3.91,5.3,7.48,2.64,5.47,5.88,0.26,5.49,5.06,8.76,5.38,10.0,4.04,6.93,5.1,6.61,3.26,4.04,5.93,9.54,0.64,5,9.32,1,6,106,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,4.47,6.52,3.31,3.21,5.29,2.33,0,0,0,1,0.27,0,5.1,4.46,Application Support Engineer
UI/UX & Product,61.93,72.32,7.99,6.08,1.9,6.38,4.29,7.31,1.22,5.34,0.19,2.29,3.97,9.34,3.52,7.54,5.54,6.36,3.77,6.79,8.83,3.8,5.86,5.03,5.31,0.54,3,4.36,0,7,35,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3.54,4.06,0.73,0.96,1.2,0.31,0,1,0,0,2.71,0,1.5,1.19,UI Designer
Data & Artificial Intelligence,80.85,83.59,7.73,9.93,5.15,2.38,4.42,9.93,3.19,7.37,7.4,1.71,1.92,1.49,4.79,3.01,5.92,8.54,2.92,8.46,4.29,7.22,5.34,9.16,6.63,0.58,10,3.84,0,11,103,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,1,1,0,0,0,0,1,5.37,5.53,7.2,5.87,4.92,4.0,0,0,0,0,3.23,1,4.06,0.0,Data Analyst
Software Engineering,93.17,72.43,7.29,7.33,9.27,5.04,5.07,4.96,5.83,9.38,4.02,5.41,5.53,9.86,6.17,5.18,9.15,5.08,2.5,5.19,5.21,2.96,5.75,4.63,5.32,0.62,8,5.87,2,11,168,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,5.37,5.1,3.47,2.72,7.42,2.18,0,0,0,0,1.37,1,2.28,2.44,Backend Engineer
"Cloud, DevOps & Platform Engineering",60.94,91.03,7.42,5.88,4.13,2.11,2.22,9.92,3.88,4.97,6.24,5.94,8.88,2.39,4.28,5.38,8.63,4.46,9.88,8.04,4.84,3.89,2.56,6.45,3.85,0.59,8,4.9,1,13,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,1,5.59,5.39,5.77,4.18,4.8,2.96,0,0,1,0,0.76,0,2.6,3.16,Infrastructure Engineer
Software Engineering,82.38,70.99,8.19,6.44,1.89,4.36,6.13,5.05,3.63,5.59,6.67,2.2,6.53,6.73,8.26,4.72,7.84,8.15,3.59,5.45,4.61,5.36,6.58,5.43,8.55,0.51,7,6.23,3,7,148,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1.26,5.9,4.83,3.9,7.88,0.72,1,0,0,1,2.81,1,2.51,3.7,Application Support Engineer
UI/UX & Product,71.64,61.88,7.29,5.11,3.89,6.14,3.46,3.87,2.87,3.29,4.06,3.73,2.7,7.48,5.33,5.19,2.07,3.9,3.59,7.58,9.07,7.27,6.39,6.91,8.9,0.54,8,4.8,2,8,204,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,3.69,3.15,3.31,3.82,4.51,1.47,0,0,0,0,0.78,1,4.41,2.4,UI Designer
Data & Artificial Intelligence,74.87,75.13,8.31,8.13,7.58,4.74,2.59,8.65,7.97,7.19,8.04,5.25,2.46,2.78,3.95,3.74,7.89,8.91,6.41,5.62,6.93,3.03,5.35,9.27,3.4,0.75,12,8.11,3,9,259,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,6,5,1,0,0,0,4.97,8.19,4.56,7.3,4.35,3.55,0,0,0,0,0.67,0,2.69,2.35,MLOps Engineer
Software Engineering,66.69,71.58,7.68,4.13,9.68,7.88,7.09,8.0,6.13,7.59,7.52,1.18,7.17,7.06,6.2,5.79,9.74,8.61,6.86,7.23,4.73,5.62,7.45,7.51,6.44,0.85,8,7.61,3,10,149,7,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.59,4.46,6.35,4.9,5.01,3.5,0,0,0,0,1.36,0,3.79,3.46,Game Developer
Software Engineering,70.2,82.13,9.19,5.73,7.74,8.34,6.21,7.5,4.91,3.93,8.37,1.19,4.97,3.63,6.05,5.37,6.92,3.63,7.03,7.36,6.92,2.31,4.69,6.6,5.67,0.43,8,7.2,2,9,170,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,5.87,5.75,2.38,4.68,6.41,4.14,0,0,0,0,1.3,0,2.6,1.63,Game Developer
Quality Assurance & Testing,58.09,78.89,6.65,7.28,8.28,4.26,7.39,4.38,3.34,7.51,4.05,3.25,6.81,4.08,8.61,6.34,4.26,4.81,6.74,5.64,4.92,6.01,4.31,6.7,7.81,0.65,9,7.45,3,19,161,3,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,3,5.43,6.62,1.57,4.42,7.9,0.5,1,0,0,0,0.35,2,1.78,1.51,Automation Test Engineer
Cybersecurity,70.05,71.89,7.97,6.41,4.06,3.13,2.31,7.69,5.09,5.92,10.0,8.1,8.37,4.22,3.98,4.4,6.39,5.78,4.87,7.72,4.34,5.27,3.21,6.23,4.42,0.75,11,10.0,3,10,250,5,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,3,0,0,7.4,7.99,8.59,5.01,5.69,8.44,12,9,4,2,3.26,0,2.67,3.12,Cloud Security Engineer
Cybersecurity,74.34,82.43,8.06,7.42,5.24,2.34,1.36,6.97,4.21,4.96,6.31,7.52,7.99,1.33,7.25,3.39,4.88,4.32,6.04,9.15,6.64,5.41,4.13,7.91,8.5,0.76,7,5.64,2,10,72,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,6.86,6.35,4.15,5.74,7.97,5.68,14,0,5,2,2.64,0,3.38,3.58,Cybersecurity Engineer
Software Engineering,76.86,62.49,7.47,6.2,7.39,5.8,3.17,6.73,6.73,6.0,7.0,2.86,7.47,6.4,2.75,8.94,8.93,7.65,6.15,6.74,5.65,6.58,5.6,5.77,5.02,0.55,9,6.83,1,13,209,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.28,7.02,7.42,4.13,5.56,2.03,0,0,0,0,3.29,1,2.67,2.94,Game Developer
UI/UX & Product,64.27,66.68,7.42,6.16,4.44,5.03,7.93,8.76,4.0,5.73,2.47,3.53,2.08,7.79,2.87,5.6,6.45,5.52,7.09,6.55,8.78,6.69,8.26,6.09,9.02,0.71,9,4.14,1,9,56,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6.2,7.39,3.63,1.57,3.58,3.64,0,1,2,0,2.93,0,3.36,1.39,Associate Product Manager
